agterparti	 -et, -er, -erne 
agterskib	 -et, -e, -ene 
agterskrivelse	 -n, -r, -rne 
agterspejl	 -et, -e, -ene 
agterstavn	 -en, -e, -ene 
agterstævn	 -en, -e, -ene 
agtpågivenhed	 -en
agurk	 -en, -er, -erne
agurkesalat	 -en, -er, -erne
agurkestav	 -en, -e, -ene
agurketid	 -en, -er, -erne 
ahaoplevelse	 -n, -r, -rne 
ahorn	 -en, ahorn, -ene
ahornsirup	 -pen, -per, -perne
aids	 -en el. aids’en
aidspatient	 -en, -er, -erne
aikido	 -en 
airbag	 -gen, -s, -gene el. -sene 
airbrush	 -en, -er, -erne 
aircondition	 
airedaleterrier	 -en, -e, -ne 
ais	 -set, -ser, -serne 
ajle	 -n , 
ajourføring	 -en, -er, -erne
akacie	 -n, -r, -rne
akademi	 -et, -er, -erne 
akademiker	 -en, -e, -ne 
akademisering	 -en
akademisme	 -n 
akantus	 -sen, akantus, -sene 
akeleje	 -n, -r, -rne 
akilleshæl	 -en, -e, -ene 
akillessene	 -n, -r, -rne 
akklamation	 -en, -er, -erne 
akklimatisation	 -en
akklimatisering	 -en
akkolade	 -n, -r, -rne 
akkommodation	 -en , 
akkompagnatør	 -en, -er, -erne 
akkompagnement	 -et, -er, -erne 
akkord	 -en, -er, -erne 
akkordarbejde	 -t, -r, -rne 
akkordeon	 -et, -er, -erne 
akkordering	 -en, -er, -erne
akkordræs	 -et, akkordræs, -ene
akkreditering	 -en, -er, -erne
akkreditiv	 -et, -er, -erne 
akkumulation	 -en, -er, -erne akkumulator	 -en, -er, -erne 
akkumulering	 -en, -er, -erne
akkuratesse	 -n 
akkusativ	 -en, -er, -erne 
akkvisition	 -en, -er, -erne 
akne	 -n 
akribi	 -en 
akrobat	 -en, -er, -erne
akrobatik	 -ken
akromegali	 -en 
akronym	 -et, -er, -erne 
akrostikon	 -et, akrostika, akrostikaene 
akryl	 -en el. -et , 
akrylmaling	 -en, -er, -erne
aks	 -et, aks, -ene 
akse	 -n, -r, -rne 
aksel	 akslen, aksler, akslerne
akselafstand	 -en, -e, -ene
akseltryk	 -ket, akseltryk, -kene
aksgræs	 -set, -ser, -serne
aksiom	 -et, -er, -erne 
akt	 -en, -er, -erne 
aktant	 -en, -er, -erne 
aktantmodel	 -len, -ler, -lerne 
aktering	 -en, -er, -erne
aktie	 -n, -r, -rne
aktieanalytiker	 -en, -e, -ne
aktiecertifikat	 -et, -er, -erne 
aktiekapital	 -en, -er, -erne 
aktiemajoritet	 -en, -er, -erne 
aktiepost	 -en, -er, -erne 
aktindsigt	 -en, -er, -erne
aktion	 -en, -er, -erne 
aktionering	 -en, -er, -erne
aktionsart	 -en, -er, -erne 
aktionsradius	 -sen el. aktionsradien, aktionsradiusser el. aktionsradier, aktionsradiusserne el. aktionsradierne
aktionær	 -en, -er, -erne 
